id_estudiante,carrera,semestre,promedio,asistencia,participacion,asignaturas_desaprobadas,acceso_virtual,socioeconomico
1,Educación,3,13.03,98.63,alta,4,7,alto
2,Contabilidad,8,11.9,82.08,media,4,2,bajo
3,Ingeniería,7,9.72,67.98,alta,1,6,medio
4,Educación,3,12.93,90.86,alta,4,3,bajo
5,Educación,6,15.69,54.46,alta,0,0,alto
6,Contabilidad,4,16.87,64.53,alta,2,5,alto
7,Ingeniería,5,15.49,99.28,baja,5,3,bajo
8,Ingeniería,5,14.11,90.72,baja,2,3,alto
9,Educación,7,13.03,96.98,baja,0,0,medio
10,Administración,5,9.38,79.74,baja,2,4,medio
11,Educación,3,11.75,70.38,alta,4,2,alto
12,Educación,10,11.46,98.98,baja,2,1,medio
13,Educación,5,11.77,65.47,baja,0,5,bajo
14,Educación,7,10.2,87.87,alta,2,3,alto
15,Contabilidad,5,13.89,77.91,baja,5,5,bajo
16,Ingeniería,5,11.32,61.43,baja,5,2,alto
17,Contabilidad,9,11.11,50.87,media,5,2,medio
18,Contabilidad,3,10.21,69.19,baja,5,0,medio
19,Contabilidad,6,12.58,77.38,media,4,0,medio
20,Educación,1,15.74,59.16,baja,5,6,medio
21,Administración,10,11.97,70.73,alta,5,0,bajo
22,Ingeniería,5,12.7,80.76,baja,1,2,bajo
23,Administración,8,16.84,85.75,alta,5,0,alto
24,Contabilidad,5,15.01,52.64,baja,4,7,medio
25,Contabilidad,9,13.47,83.21,baja,5,1,medio
26,Administración,6,13.36,52.83,alta,2,2,bajo
27,Administración,8,10.49,51.41,alta,5,0,medio
28,Administración,10,10.25,57.62,alta,3,6,medio
29,Contabilidad,8,12.35,82.68,alta,2,3,medio
30,Contabilidad,3,12.42,52.64,media,5,2,bajo
31,Ingeniería,7,9.88,51.04,media,5,4,bajo
32,Ingeniería,7,13.76,55.9,alta,2,4,medio
33,Contabilidad,10,11.31,97.49,media,0,2,bajo
34,Administración,6,14.82,95.36,baja,3,2,medio
35,Administración,7,11.86,54.32,baja,0,4,alto
36,Ingeniería,2,11.64,65.2,baja,5,3,medio
37,Contabilidad,9,9.66,97.36,media,0,3,medio
38,Ingeniería,10,9.93,54.88,media,4,3,alto
39,Ingeniería,10,15.29,54.73,baja,1,1,medio
40,Educación,1,12.67,54.3,alta,2,5,medio
41,Educación,1,12.97,98.82,baja,3,5,alto
42,Educación,3,16.0,87.16,media,2,6,medio
43,Administración,3,8.71,60.72,baja,0,1,alto
44,Contabilidad,1,13.68,52.3,baja,1,6,alto
45,Contabilidad,7,8.03,98.26,media,0,3,medio
46,Contabilidad,4,10.91,71.27,media,2,4,medio
47,Contabilidad,10,9.14,79.92,media,4,1,medio
48,Educación,2,14.15,63.96,media,2,0,alto
49,Administración,10,7.28,87.92,baja,0,5,alto
50,Administración,5,11.42,59.84,media,3,1,bajo
51,Educación,6,9.1,89.35,alta,3,4,alto
52,Administración,9,9.86,61.53,media,3,7,bajo
53,Educación,4,10.25,54.9,media,3,7,alto
54,Contabilidad,2,15.3,73.94,baja,3,7,medio
55,Educación,5,11.16,90.66,alta,5,4,medio
56,Contabilidad,3,16.32,69.24,alta,1,2,medio
57,Contabilidad,2,16.84,51.44,alta,1,4,bajo
58,Ingeniería,1,17.28,77.67,media,4,6,medio
59,Educación,10,11.85,84.02,baja,3,3,alto
60,Ingeniería,2,12.53,87.03,baja,0,6,medio
